,section,byline,title,abstract,class,print_page,pub_date,type_of_material,class_le,byline_le,section_le,type_of_material_le,title_clean,abstract_clean,title_vec_avg,abstract_vec_avg,title_len,abstract_len,capital_letters,title_punct_num,abstract_punct_num,title_!,abstract_!,title_?,abstract_?,authors_num,coauthors,sections_grouped,title_ner,title_ner_type,ners_num,ner_GPE,ner_PERSON,ner_ORG,ner_MONEY,ner_NORP,pub_day_of_week,title_sentiment,abstract_sentiment,countries
13,Opinion,Paul Krugman,Laundered Money Could Be Putin’s Achilles’ Heel,We can and should freeze oligarchs’ overseas assets.,top,0.0,,,1,591.0,15.0,-2.0,laundered money could putin’s achilles’ heel,freeze oligarchs’ overseas assets.,-0.00511892,-0.016216958,7,8,7,0,1,0,0,0,0,1,0,7,['Putin'],['PERSON'],1,0.0,1.0,0.0,0.0,0.0,-1.0,0.0,0.2263,[]
14,Sports,Rory Smith and Tariq Panja,"Chelsea Is for Sale, Its Russian Owner Says","As British lawmakers take aim at wealthy Russians, Roman Abramovich confirmed he was seeking to sell the Premier League team he has owned since 2003.",top,9.0,2022-03-02 15:50:01+00:00,News,1,625.0,20.0,2.0,"chelsea sale, russian owner says","british lawmakers take aim wealthy russians, roman abramovich confirmed seeking sell premier league team owned since 2003.",0.0033263827,0.0063795554,8,25,7,1,2,0,0,0,0,1,0,1,['Chelsea'],['ORG'],1,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.3612,[]
15,World,Eric Schmitt and Julian E. Barnes,"Some Russian troops are surrendering or sabotaging vehicles rather than fighting, a Pentagon official says.","A significant number of the Russian troops are young conscripts who are poorly trained and ill-prepared for the all-out assault, a senior official said.",top,0.0,2022-03-01 17:32:32+00:00,News,1,247.0,30.0,2.0,"russian troops surrendering sabotaging vehicles rather fighting, pentagon official says.","significant number russian troops young conscripts poorly trained ill-prepared all-out assault, senior official said.",0.0043060193,-0.0090017095,15,24,3,2,4,0,0,0,0,1,0,5,"['Russian', 'Pentagon']","['NORP', 'ORG']",2,0.0,0.0,0.0,0.0,1.0,1.0,-0.3612,-0.4019,[]
16,Arts,Ben Sisario,Neil Diamond Sells Entire Catalog to Universal Music,The musician behind ubiquitous hits like “Sweet Caroline” sold his songwriting rights and recordings in another major deal.,top,0.0,,,1,96.0,0.0,-2.0,neil diamond sells entire catalog universal music,musician behind ubiquitous hits like “sweet caroline” sold songwriting rights recordings another major deal.,0.009724932,-0.009588927,8,18,7,0,1,0,0,0,0,1,0,1,"['Neil Diamond Sells Entire', 'Universal Music']","['PERSON', 'ORG']",2,0.0,1.0,0.0,0.0,0.0,-1.0,0.34,0.3612,[]
17,Arts,David Peisner,What Happens When a ‘Heritage Act’ Wants More Than Playing the Hits?,Tears for Fears are returning with their first new album in 18 years. The group is one of a number of veteran bands releasing fresh music after lengthy pauses.,top,0.0,,,1,198.0,0.0,-2.0,happens ‘heritage act’ wants playing hits?,tears fears returning first new album 18 years. group one number veteran bands releasing fresh music lengthy pauses.,-0.016051877,-0.009689322,12,29,10,1,2,0,0,1,0,1,0,1,[],[],0,0.0,0.0,0.0,0.0,0.0,-1.0,0.2682,-0.2732,[]
18,Sports,Jeré Longman,Figure Skating Federation Bars Russians With World Championships Weeks Away,"Skaters like Anna Shcherbakova, the Olympic women’s singles champion, and Kamila Valieva, who was embroiled in a doping dispute, will not be able to compete under the ban.",top,8.0,2022-03-01 20:44:18+00:00,News,1,347.0,20.0,2.0,figure skating federation bars russians world championships weeks away,"skaters like anna shcherbakova, olympic women’s singles champion, kamila valieva, embroiled doping dispute, able compete ban.",-0.007189518,-0.011514366,10,28,10,0,5,0,0,0,0,1,0,1,['World Championships'],['EVENT'],1,0.0,0.0,0.0,0.0,0.0,1.0,0.4939,0.0258,[]
19,World,Anton Troianovski,"The ruble crashes, the stock market closes and Russia’s economy staggers under sanctions.",The hectic moves were the first signs that Western sanctions were shaking the foundations of Russia’s economy.,top,0.0,,,1,70.0,30.0,-2.0,"ruble crashes, stock market closes russia’s economy staggers sanctions.",hectic moves first signs western sanctions shaking foundations russia’s economy.,-0.0054134806,-0.00959541,13,17,2,2,1,0,0,0,0,1,0,5,['Russia'],['GPE'],1,1.0,0.0,0.0,0.0,0.0,-1.0,0.0,-0.1779,['Russia']
20,Health,Roni Caryn Rabin,Patient in Groundbreaking Heart Transplant Dies,"David Bennett Sr. had received a heart from a genetically modified pig, a procedure that may yet offer hope to millions of Americans needing transplants.",top,18.0,2022-03-09 15:00:13+00:00,News,1,623.0,10.0,2.0,patient groundbreaking heart transplant dies,"david bennett sr. received heart genetically modified pig, procedure may yet offer hope millions americans needing transplants.",-0.003501981,-0.0031393333,6,25,5,0,3,0,0,0,0,1,0,2,[],[],0,0.0,0.0,0.0,0.0,0.0,2.0,0.6369,0.7964,[]
21,U.S.,Esha Ray,Truckers protesting Covid mandates are amassing outside the capital.,The convoy and its supporters could move into Washington to hold rallies.,top,0.0,2022-03-06 00:58:03+00:00,News,1,255.0,28.0,2.0,truckers protesting covid mandates amassing outside capital.,convoy supporters could move washington hold rallies.,-0.009235317,-0.0110802855,9,12,2,1,1,0,0,0,0,1,0,6,['Covid'],['NORP'],1,0.0,0.0,0.0,0.0,1.0,6.0,-0.4215,0.4404,[]
22,U.S.,Eric Lipton,Melania Trump Event Called Off After Officials Question Fund-Raising,Florida regulators found that a company working on the charitable event had not registered properly. The former first lady’s office said it would be rescheduled.,top,16.0,2022-03-03 21:52:17+00:00,News,1,244.0,28.0,2.0,melania trump event called officials question fund-raising,florida regulators found company working charitable event registered properly. former first lady’s office said would rescheduled.,-0.006490661,-0.0072239414,9,25,10,1,2,0,0,0,0,1,0,6,[],[],0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.4019,[]
23,U.S.,Linda Qiu,Republicans Wrongly Blame Biden for Rising Gas Prices,"They have pointed to the Biden administration’s policies on the Keystone XL pipeline and certain oil and gas leases, which have had little impact on prices.",top,15.0,2022-03-09 20:27:00+00:00,News,1,441.0,28.0,2.0,republicans wrongly blame biden rising gas prices,"pointed biden administration’s policies keystone xl pipeline certain oil gas leases, little impact prices.",-0.008721957,-0.008836462,8,26,7,0,2,0,0,0,0,1,0,6,"['Republicans', 'Biden', 'Rising Gas Prices']","['NORP', 'PERSON', 'ORG']",3,0.0,0.0,0.0,0.0,1.0,2.0,-0.34,0.2732,[]
24,Opinion,Thomas L. Friedman,The Cancellation of Mother Russia Is Underway,China is the one country that might have the power to stop Putin. ,top,17.0,2022-03-06 06:00:06+00:00,Op-Ed,1,701.0,15.0,5.0,cancellation mother russia underway,china one country might power stop putin.,0.007086552,-0.0046876995,7,13,6,0,1,0,0,0,0,1,0,7,['Russia'],['GPE'],1,1.0,0.0,0.0,0.0,0.0,6.0,0.0,-0.296,['Russia']
25,World,Aurelien Breeden and Anton Troianovski,A Putin-Macron call leaves France persuaded that Russia wants ‘control of all of Ukraine.’,"On the call, the Russian president said that his goal, “the demilitarization and neutral status of Ukraine,” would be achieved “no matter what,” according to the Kremlin.",top,0.0,2022-03-03 17:00:18+00:00,News,1,81.0,30.0,2.0,putin-macron call leaves france persuaded russia wants ‘control ukraine.’,"call, russian president said goal, “the demilitarization neutral status ukraine,” would achieved “no matter what,” according kremlin.",-0.005779058,-0.014870846,14,27,6,2,5,0,0,0,0,1,0,5,"['Putin', 'France', 'Russia', 'Ukraine']","['PERSON', 'GPE', 'GPE', 'GPE']",4,0.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0258,"['France', 'Russia', 'Ukraine']"
26,World,Marc Santora and William J. Broad,"Fire at a Ukrainian nuclear plant is out, but Russian troops take control of the site.",International observers and Ukrainian officials said that as of 6 a.m. the facility was still able to function safely.,top,0.0,2022-03-04 11:12:49+00:00,News,1,477.0,30.0,2.0,"fire ukrainian nuclear plant out, russian troops take control site.",international observers ukrainian officials said 6 a.m. facility still able function safely.,-0.009398073,-0.0044690003,16,19,3,2,3,0,0,0,0,1,0,5,"['Ukrainian', 'Russian']","['NORP', 'NORP']",2,0.0,0.0,0.0,0.0,1.0,4.0,-0.1779,0.4939,[]
27,New York,"Ben Protess, William K. Rashbaum and Jonah E. Bromwich",How the Manhattan D.A.’s Investigation Into Donald Trump Unraveled,The criminal investigation into the former president crashed amid a disagreement about the merits of bringing a case. The debate pitted a new district attorney against two veteran prosecutors who had pursued a case against Mr. Trump for years.,top,1.0,2022-03-05 16:26:42+00:00,News,1,94.0,13.0,2.0,manhattan d.a.’s investigation donald trump unraveled,criminal investigation former president crashed amid disagreement merits bringing case. debate pitted new district attorney two veteran prosecutors pursued case mr. trump years.,-0.0044611543,-0.0051196353,9,39,9,2,3,0,0,0,0,2,1,6,['the Manhattan D.A.’s'],['ORG'],1,0.0,0.0,1.0,0.0,0.0,5.0,0.0,-0.4939,[]
28,World,Lynsey Addario,"Russian forces fire on evacuees, leaving 4 people dead outside Kyiv.","The attack in Irpin, west of the capital, suggested either direct targeting of evacuees or disregard for the risk of civilian casualties.",top,0.0,2022-03-06 12:51:56+00:00,News,1,463.0,30.0,2.0,"russian forces fire evacuees, leaving 4 people dead outside kyiv.","attack irpin, west capital, suggested either direct targeting evacuees disregard risk civilian casualties.",-0.0060847253,-0.0020596243,11,22,2,2,3,0,0,0,0,1,0,5,"['Russian', '4', 'Kyiv']","['NORP', 'CARDINAL', 'GPE']",3,0.0,0.0,0.0,0.0,1.0,6.0,-0.7717,-0.743,['Kyiv']
29,Climate,Henry Fountain,"At the Bottom of an Icy Sea, One of History’s Great Wrecks Is Found","Explorers and researchers, battling freezing temperatures, have located Endurance, Ernest Shackleton’s ship that sank in the Antarctic in 1915.",top,5.0,2022-03-09 07:00:08+00:00,News,1,289.0,5.0,2.0,"bottom icy sea, one history’s great wrecks found","explorers researchers, battling freezing temperatures, located endurance, ernest shackleton’s ship sank antarctic 1915.",-0.0049061193,-0.012925216,14,19,10,1,4,0,0,0,0,1,0,3,['One'],['CARDINAL'],1,0.0,0.0,0.0,0.0,0.0,2.0,0.6249,-0.3612,[]
30,Sports,Michael Crowley and Jonathan Abrams,"Brittney Griner, Star W.N.B.A. Center, Is Detained in Russia",Russian customs officials said a U.S. basketball player had vape cartridges containing hashish oil in her luggage. A Russian news agency identified the player as Griner.,top,12.0,2022-03-05 14:33:22+00:00,News,1,527.0,20.0,2.0,"brittney griner, star w.n.b.a. center, detained russia",russian customs officials said u.s. basketball player vape cartridges containing hashish oil luggage. russian news agency identified player griner.,-0.0068161744,-0.01298908,9,26,11,6,4,0,0,0,0,1,0,1,"['Brittney Griner', 'Star W.N.B.A. Center', 'Russia']","['PERSON', 'ORG', 'GPE']",3,0.0,1.0,0.0,0.0,0.0,5.0,-0.4019,0.0,['Russia']
31,U.S.,Luke Broadwater and Alan Feuer,Jan. 6 Committee Lays Out Potential Criminal Charges Against Trump,"In a court filing, the panel said there was enough evidence to suggest that the former president might have engaged in a criminal conspiracy as he fought to remain in office.",top,1.0,2022-03-03 03:01:24+00:00,News,1,453.0,28.0,2.0,jan. 6 committee lays potential criminal charges trump,"court filing, panel said enough evidence suggest former president might engaged criminal conspiracy fought remain office.",0.010116701,-0.009550617,10,31,9,1,2,0,0,0,0,1,0,6,[],[],0,0.0,0.0,0.0,0.0,0.0,3.0,-0.6705,-0.7506,[]
32,U.S.,Dave Philipps,‘I Just Can’t Stand By’: American Veterans Join the Fight in Ukraine,"All across the country, small groups of military veterans are hungry for what they see as a righteous fight to defend freedom against an autocratic aggressor.",top,8.0,2022-03-05 10:00:15+00:00,News,1,180.0,28.0,2.0,‘i can’t stand by’: american veterans join fight ukraine,"across country, small groups military veterans hungry see righteous fight defend freedom autocratic aggressor.",-0.012588493,-0.009071403,12,26,10,1,2,0,0,0,0,1,0,6,"['American', 'Ukraine']","['NORP', 'GPE']",2,0.0,0.0,0.0,0.0,1.0,5.0,-0.1027,0.2023,['Ukraine']
33,Sports,Alanis Thames and Jonathan Abrams,Brittney Griner’s Impact Is Clear as W.N.B.A. Fans Await Word From Russia,"Griner, one of the world’s best basketball players, was detained in Russia on what customs officials described as drug charges. Fans are worried.",top,8.0,2022-03-08 22:32:16+00:00,News,1,15.0,20.0,2.0,brittney griner’s impact clear w.n.b.a. fans await word russia,"griner, one world’s best basketball players, detained russia customs officials described drug charges. fans worried.",-0.01170315,-0.011527547,12,23,14,4,4,0,0,0,0,1,0,1,"['Brittney Griner’s', 'W.N.B.A. Fans Await', 'Russia']","['PERSON', 'ORG', 'GPE']",3,0.0,1.0,0.0,0.0,0.0,1.0,0.4588,-0.2023,['Russia']
34,World,Andrew E. Kramer,Russian Prisoners and Ukrainian Soldiers Describe Two Sides of the Conflict,"The accounts painted a picture of a conflict consisting largely of ambushes, at least in northern Ukraine where the Russian forces are striving to encircle and capture the capital, Kyiv.",top,1.0,2022-03-06 00:02:27+00:00,News,1,52.0,30.0,2.0,russian prisoners ukrainian soldiers describe two sides conflict,"accounts painted picture conflict consisting largely ambushes, least northern ukraine russian forces striving encircle capture capital, kyiv.",-0.0046405797,-0.005619589,11,30,8,0,3,0,0,0,0,1,0,5,['Russian'],['NORP'],1,0.0,0.0,0.0,0.0,1.0,6.0,-0.6808,-0.3182,[]
35,U.S.,Jacey Fortin,Minneapolis Teachers Begin Strike After Talks Fail,"The union is asking for smaller class sizes and higher wages, while the school district says its budget is shrinking because of declining enrollment. After negotiations, St. Paul averted a strike.",top,14.0,2022-03-08 01:29:53+00:00,News,1,305.0,28.0,2.0,minneapolis teachers begin strike talks fail,"union asking smaller class sizes higher wages, school district says budget shrinking declining enrollment. negotiations, st. paul averted strike.",-0.0009589364,0.008225211,7,31,7,0,5,0,0,0,0,1,0,6,['Minneapolis'],['GPE'],1,1.0,0.0,0.0,0.0,0.0,1.0,-0.6124,-0.2023,['Minneapolis']
36,World,"Anatoly Kurmanaev, Natalie Kitroeff and Kenneth P. Vogel",Venezuela Releases Imprisoned Americans After Talks With U.S.,"The release of Gustavo Cárdenas, an executive at the U.S. branch of Venezuela’s state oil company, and Jorge Alberto Fernández came after Biden officials moved to thaw relations with Venezuela, long a steadfast Russian ally.",top,5.0,2022-03-08 23:59:43+00:00,News,1,50.0,30.0,2.0,venezuela releases imprisoned americans talks u.s.,"release gustavo cárdenas, executive u.s. branch venezuela’s state oil company, jorge alberto fernández came biden officials moved thaw relations venezuela, long steadfast russian ally.",-0.009708245,-0.010997676,8,35,9,2,6,0,0,0,0,2,1,5,"['Venezuela', 'U.S.']","['GPE', 'GPE']",2,1.0,0.0,0.0,0.0,0.0,1.0,-0.4588,0.25,"['Venezuela', 'U.S.']"
37,Books,Elisabeth Egan,"When Her Husband Said He Wanted to Die, Amy Bloom Listened","In her memoir, “In Love,” the veteran novelist writes about her marriage, her husband’s Alzheimer’s diagnosis and his decision to end his life.",top,0.0,,,1,222.0,1.0,-2.0,"husband said wanted die, amy bloom listened","memoir, “in love,” veteran novelist writes marriage, husband’s alzheimer’s diagnosis decision end life.",-0.02495784,-0.018493105,11,23,10,1,4,0,0,0,0,1,0,1,[],[],0,0.0,0.0,0.0,0.0,0.0,-1.0,-0.5994,0.0,[]
38,Arts,Dave Itzkoff,"On ‘S.N.L.,’ Tucker Carlson and Laura Ingraham Make Amends","The episode, hosted by Oscar Isaac, spoofed the Fox News hosts and the former president in a “Ukrainian Invasion Celebration Spectacular.”",top,0.0,2022-03-06 07:23:24+00:00,News,1,179.0,0.0,2.0,"‘s.n.l.,’ tucker carlson laura ingraham make amends","episode, hosted oscar isaac, spoofed fox news hosts former president “ukrainian invasion celebration spectacular.”",-0.0081583215,-0.0070396527,9,21,10,4,3,0,0,0,0,1,0,1,"['Tucker Carlson', 'Laura Ingraham']","['PERSON', 'PERSON']",2,0.0,1.0,0.0,0.0,0.0,6.0,0.0,0.0,[]
39,U.S.,"Madeleine Ngo, Adam Bednar and Esha Ray","Led by Truckers, Hundreds of Vehicles Protesting Covid Mandates Encircle Washington",The convoy slowed traffic outside the capital for hours before fading in the afternoon.,top,14.0,2022-03-06 23:22:14+00:00,News,1,466.0,28.0,2.0,"led truckers, hundreds vehicles protesting covid mandates encircle washington",convoy slowed traffic outside capital hours fading afternoon.,-0.00026498,0.005374487,11,14,9,1,1,0,0,0,0,2,1,6,"['Truckers', 'Hundreds', 'Washington']","['NORP', 'CARDINAL', 'GPE']",3,0.0,0.0,0.0,0.0,1.0,6.0,-0.4215,0.0,['Washington']
40,U.S.,Vimal Patel,"West Point Cadets Overdose During Spring Break in Florida, Officials Say","The cadets, along with another young man, were exposed to what is believed to be cocaine laced with fentanyl, and two were on ventilators late Friday, officials said.",top,23.0,2022-03-12 02:14:47+00:00,News,1,727.0,28.0,2.0,"west point cadets overdose spring break florida, officials say","cadets, along another young man, exposed believed cocaine laced fentanyl, two ventilators late friday, officials said.",-0.0020427888,-0.012311267,11,28,10,1,5,0,0,0,0,1,0,6,"['Spring Break', 'Florida']","['EVENT', 'GPE']",2,0.0,0.0,0.0,0.0,0.0,5.0,0.0,-0.0772,['Florida']
41,World,"Michael Schwirtz, Valerie Hopkins and Carlotta Gall",Ukrainian Forces Strike Back at Russia as Biden Sends More Firepower,"The attacks in Kyiv and Kherson were aimed at inflicting “maximum losses” against Russia but not regaining territory, while the U.S. pledged $800 million more in military aid.",top,0.0,,,1,540.0,30.0,-2.0,ukrainian forces strike back russia biden sends firepower,"attacks kyiv kherson aimed inflicting “maximum losses” russia regaining territory, u.s. pledged $800 million military aid.",-0.010613642,-0.009435803,11,28,9,0,5,0,0,0,0,2,1,5,"['Ukrainian', 'Russia', 'Biden Sends More Firepower']","['GPE', 'GPE', 'ORG']",3,1.0,0.0,0.0,0.0,0.0,-1.0,-0.128,-0.2382,"['Ukrainian', 'Russia']"
42,U.S.,Christine Hauser,"Remains of Child Known as ‘Little Miss Nobody’ Are Identified, Sheriff Says","In 1960, a child’s body was found by a hiker in a remote part of Arizona. Using DNA technology, investigators were finally able to identify her as Sharon Lee Gallegos, age 4.",top,16.0,2022-03-15 22:32:34+00:00,News,1,151.0,28.0,2.0,"remains child known ‘little miss nobody’ identified, sheriff says","1960, child’s body found hiker remote part arizona. using dna technology, investigators finally able identify sharon lee gallegos, age 4.",-0.015033509,-0.0031935023,12,32,10,1,5,0,0,0,0,1,0,6,[],[],0,0.0,0.0,0.0,0.0,0.0,1.0,-0.1531,0.0,[]
43,Sports,Jesus Jiménez,"13-Year-Old Boy Drove Truck That Hit Van in Texas, Killing 9, Officials Say","The fiery crash killed a golf coach and six of his players, along with the boy and a man who was traveling with him.",top,0.0,2022-03-17 22:26:50+00:00,News,1,352.0,20.0,2.0,"13-year-old boy drove truck hit van texas, killing 9, officials say","fiery crash killed golf coach six players, along boy man traveling him.",-0.0004992624,-0.00052241725,13,24,12,4,2,0,0,0,0,1,0,1,"['13-Year-Old', 'Texas']","['DATE', 'GPE']",2,0.0,0.0,0.0,0.0,0.0,3.0,-0.6597,-0.8625,['Texas']
44,U.S.,Dave Philipps and Eric Schmitt,"Over Ukraine, Lumbering Turkish-Made Drones Are an Ominous Sign for Russia","The Bayraktar TB2 has become a rallying symbol for Ukrainians, who are singing songs about them and posting videos of their success.",top,13.0,2022-03-11 17:22:19+00:00,News,1,181.0,28.0,2.0,"ukraine, lumbering turkish-made drones ominous sign russia","bayraktar tb2 become rallying symbol ukrainians, singing songs posting videos success.",-0.0046066404,-0.007257223,11,22,10,2,2,0,0,0,0,1,0,6,"['Ukraine', 'Turkish', 'Russia']","['GPE', 'NORP', 'GPE']",3,1.0,0.0,0.0,0.0,0.0,4.0,-0.34,0.5719,"['Ukraine', 'Russia']"
