,section,byline,title,abstract,class,print_page,pub_date,type_of_material
17,Arts,By David Peisner,What Happens When a ‘Heritage Act’ Wants More Than Playing the Hits?,Tears for Fears are returning with their first new album in 18 years. The group is one of a number of veteran bands releasing fresh music after lengthy pauses.,top,,,
18,Sports,By Jeré Longman,Figure Skating Federation Bars Russians With World Championships Weeks Away,"Skaters like Anna Shcherbakova, the Olympic women’s singles champion, and Kamila Valieva, who was embroiled in a doping dispute, will not be able to compete under the ban.",top,8,2022-03-01T20:44:18+0000,News
19,World,By Anton Troianovski,"The ruble crashes, the stock market closes and Russia’s economy staggers under sanctions.",The hectic moves were the first signs that Western sanctions were shaking the foundations of Russia’s economy.,top,,,
20,Health,By Roni Caryn Rabin,Patient in Groundbreaking Heart Transplant Dies,"David Bennett Sr. had received a heart from a genetically modified pig, a procedure that may yet offer hope to millions of Americans needing transplants.",top,18,2022-03-09T15:00:13+0000,News
21,U.S.,By Esha Ray,Truckers protesting Covid mandates are amassing outside the capital.,The convoy and its supporters could move into Washington to hold rallies.,top,,2022-03-06T00:58:03+0000,News
22,U.S.,By Eric Lipton,Melania Trump Event Called Off After Officials Question Fund-Raising,Florida regulators found that a company working on the charitable event had not registered properly. The former first lady’s office said it would be rescheduled.,top,16,2022-03-03T21:52:17+0000,News
23,U.S.,By Linda Qiu,Republicans Wrongly Blame Biden for Rising Gas Prices,"They have pointed to the Biden administration’s policies on the Keystone XL pipeline and certain oil and gas leases, which have had little impact on prices.",top,15,2022-03-09T20:27:00+0000,News
24,Opinion,By Thomas L. Friedman,The Cancellation of Mother Russia Is Underway,China is the one country that might have the power to stop Putin. ,top,17,2022-03-06T06:00:06+0000,Op-Ed
25,World,By Aurelien Breeden and Anton Troianovski,A Putin-Macron call leaves France persuaded that Russia wants ‘control of all of Ukraine.’,"On the call, the Russian president said that his goal, “the demilitarization and neutral status of Ukraine,” would be achieved “no matter what,” according to the Kremlin.",top,,2022-03-03T17:00:18+0000,News
26,World,By Marc Santora and William J. Broad,"Fire at a Ukrainian nuclear plant is out, but Russian troops take control of the site.",International observers and Ukrainian officials said that as of 6 a.m. the facility was still able to function safely.,top,,2022-03-04T11:12:49+0000,News
27,New York,"By Ben Protess, William K. Rashbaum and Jonah E. Bromwich",How the Manhattan D.A.’s Investigation Into Donald Trump Unraveled,The criminal investigation into the former president crashed amid a disagreement about the merits of bringing a case. The debate pitted a new district attorney against two veteran prosecutors who had pursued a case against Mr. Trump for years.,top,1,2022-03-05T16:26:42+0000,News
28,World,By Lynsey Addario,"Russian forces fire on evacuees, leaving 4 people dead outside Kyiv.","The attack in Irpin, west of the capital, suggested either direct targeting of evacuees or disregard for the risk of civilian casualties.",top,,2022-03-06T12:51:56+0000,News
29,Climate,By Henry Fountain,"At the Bottom of an Icy Sea, One of History’s Great Wrecks Is Found","Explorers and researchers, battling freezing temperatures, have located Endurance, Ernest Shackleton’s ship that sank in the Antarctic in 1915.",top,5,2022-03-09T07:00:08+0000,News
30,Sports,By Michael Crowley and Jonathan Abrams,"Brittney Griner, Star W.N.B.A. Center, Is Detained in Russia",Russian customs officials said a U.S. basketball player had vape cartridges containing hashish oil in her luggage. A Russian news agency identified the player as Griner.,top,12,2022-03-05T14:33:22+0000,News
31,U.S.,By Luke Broadwater and Alan Feuer,Jan. 6 Committee Lays Out Potential Criminal Charges Against Trump,"In a court filing, the panel said there was enough evidence to suggest that the former president might have engaged in a criminal conspiracy as he fought to remain in office.",top,1,2022-03-03T03:01:24+0000,News
32,U.S.,By Dave Philipps,‘I Just Can’t Stand By’: American Veterans Join the Fight in Ukraine,"All across the country, small groups of military veterans are hungry for what they see as a righteous fight to defend freedom against an autocratic aggressor.",top,8,2022-03-05T10:00:15+0000,News
33,Sports,By Alanis Thames and Jonathan Abrams,Brittney Griner’s Impact Is Clear as W.N.B.A. Fans Await Word From Russia,"Griner, one of the world’s best basketball players, was detained in Russia on what customs officials described as drug charges. Fans are worried.",top,8,2022-03-08T22:32:16+0000,News
34,World,By Andrew E. Kramer,Russian Prisoners and Ukrainian Soldiers Describe Two Sides of the Conflict,"The accounts painted a picture of a conflict consisting largely of ambushes, at least in northern Ukraine where the Russian forces are striving to encircle and capture the capital, Kyiv.",top,1,2022-03-06T00:02:27+0000,News
35,U.S.,By Jacey Fortin,Minneapolis Teachers Begin Strike After Talks Fail,"The union is asking for smaller class sizes and higher wages, while the school district says its budget is shrinking because of declining enrollment. After negotiations, St. Paul averted a strike.",top,14,2022-03-08T01:29:53+0000,News
36,World,"By Anatoly Kurmanaev, Natalie Kitroeff and Kenneth P. Vogel",Venezuela Releases Imprisoned Americans After Talks With U.S.,"The release of Gustavo Cárdenas, an executive at the U.S. branch of Venezuela’s state oil company, and Jorge Alberto Fernández came after Biden officials moved to thaw relations with Venezuela, long a steadfast Russian ally.",top,5,2022-03-08T23:59:43+0000,News
37,Books,By Elisabeth Egan,"When Her Husband Said He Wanted to Die, Amy Bloom Listened","In her memoir, “In Love,” the veteran novelist writes about her marriage, her husband’s Alzheimer’s diagnosis and his decision to end his life.",top,,,
38,Arts,By Dave Itzkoff,"On ‘S.N.L.,’ Tucker Carlson and Laura Ingraham Make Amends","The episode, hosted by Oscar Isaac, spoofed the Fox News hosts and the former president in a “Ukrainian Invasion Celebration Spectacular.”",top,,2022-03-06T07:23:24+0000,News
39,U.S.,"By Madeleine Ngo, Adam Bednar and Esha Ray","Led by Truckers, Hundreds of Vehicles Protesting Covid Mandates Encircle Washington",The convoy slowed traffic outside the capital for hours before fading in the afternoon.,top,14,2022-03-06T23:22:14+0000,News
40,U.S.,By Vimal Patel,"West Point Cadets Overdose During Spring Break in Florida, Officials Say","The cadets, along with another young man, were exposed to what is believed to be cocaine laced with fentanyl, and two were on ventilators late Friday, officials said.",top,23,2022-03-12T02:14:47+0000,News
41,World,"By Michael Schwirtz, Valerie Hopkins and Carlotta Gall",Ukrainian Forces Strike Back at Russia as Biden Sends More Firepower,"The attacks in Kyiv and Kherson were aimed at inflicting “maximum losses” against Russia but not regaining territory, while the U.S. pledged $800 million more in military aid.",top,,,
42,U.S.,By Christine Hauser,"Remains of Child Known as ‘Little Miss Nobody’ Are Identified, Sheriff Says","In 1960, a child’s body was found by a hiker in a remote part of Arizona. Using DNA technology, investigators were finally able to identify her as Sharon Lee Gallegos, age 4.",top,16,2022-03-15T22:32:34+0000,News
43,Sports,By Jesus Jiménez,"13-Year-Old Boy Drove Truck That Hit Van in Texas, Killing 9, Officials Say","The fiery crash killed a golf coach and six of his players, along with the boy and a man who was traveling with him.",top,,2022-03-17T22:26:50+0000,News
44,U.S.,By Dave Philipps and Eric Schmitt,"Over Ukraine, Lumbering Turkish-Made Drones Are an Ominous Sign for Russia","The Bayraktar TB2 has become a rallying symbol for Ukrainians, who are singing songs about them and posting videos of their success.",top,13,2022-03-11T17:22:19+0000,News
45,Opinion,By Bret Stephens,This Is How World War III Begins,Why Putin is likelier to double down than he is to cut his losses. ,top,22,2022-03-15T23:00:10+0000,Op-Ed
46,U.S.,By Luke Broadwater and Amelia Nierenberg,A Groggy Senate Approves Making Daylight Saving Time Permanent,Legislation that passed unanimously would end the practice of setting clocks back one hour in the fall. Its prospects were uncertain in the House.,top,15,2022-03-15T22:24:04+0000,News
47,World,By Natasha Frost,"It Could’ve Been the World’s Largest Potato, if Only It Were a Potato","A couple in New Zealand found a giant growth in their garden, named it Doug and applied to Guinness World Records. Then the results of a DNA analysis came in.",top,3,2022-03-17T07:36:37+0000,News
48,Health,By Apoorva Mandavilli,New Vaccine Findings Pose Tough Questions for Parents of Young Children,The F.D.A. temporarily halted efforts to authorize the Pfizer-BioNTech vaccine for young children amid several unexpected findings. The coming weeks should bring clarity.,top,19,2022-03-10T18:55:15+0000,News
49,U.S.,By Edward Wong and Julian E. Barnes,"Russia Asked China for Military and Economic Aid for Ukraine War, U.S. Officials Say","Jake Sullivan, the U.S. national security adviser, plans to meet with a top Chinese official on Monday in Rome to discuss the war and China’s role.",top,6,2022-03-13T19:52:09+0000,News
50,U.S.,By Maria Cramer and Isabella Grullón Paz,An Educator Read ‘I Need a New Butt!’ to Children. Then He Was Fired.,"Toby Price, an assistant principal at an elementary school in Mississippi, read the book to a class of second graders over Zoom. “I am a firm believer that reluctant readers need the silly, funny books to hook them in,” he said.",top,17,2022-03-11T22:22:04+0000,News
51,U.S.,By J. David Goodman,Texas Court Halts Abuse Inquiries Into Parents of Transgender Children,A judge said the governor’s order to consider medically accepted treatments for transgender youth as abuse had been improperly adopted and violated the State Constitution.,top,16,2022-03-11T19:41:16+0000,News
52,World,By Keith Bradsher,Lockdowns spread in China as the virus surges in Shanghai and over a dozen provinces.,Officials say that most of the recent cases detected in widespread testing are asymptomatic but still contagious.,top,,2022-03-11T10:54:55+0000,News
53,Health,By Carl Zimmer,‘Stealth’ Omicron Is Stealthy No More: What’s Known About the BA.2 Variant,The subvariant of Omicron is becoming more common in the United States but probably won’t cause another large spike.,top,17,2022-03-11T22:17:54+0000,News
54,U.S.,"By Helene Cooper, Julian E. Barnes and Eric Schmitt","As Russian Troop Deaths Climb, Morale Becomes an Issue, Officials Say","More than 7,000 Russian troops have been killed in less than three weeks of fighting, according to conservative U.S. estimates.",top,12,2022-03-16T22:43:48+0000,News
55,Well,By Jane E. Brody,"Why We Clutter, and What to Do About It","All that “stuff” in our drawers, closets and corners is a hazard, but there are ways to keep it at bay.",top,,,
56,World,By Michael Schwirtz,"Brent Renaud, an American journalist, is killed in Ukraine.","An award-winning filmmaker and journalist, Mr. Renaud, 50, was killed while reporting in a suburb of Kyiv. Another journalist was wounded.",top,,2022-03-13T14:04:02+0000,News
57,Arts,By Vimal Patel,"Emilio Delgado, Luis on ‘Sesame Street’ for Four Decades, Dies at 81",The actor was a fixture on the groundbreaking educational program. His character’s wedding to Maria on the show in 1988 captivated children and their parents.,top,21,2022-03-11T00:50:16+0000,Obituary (Obit)
58,Gameplay,By Alexis Benveniste and Jackie Frere,A Collection of the Best Wordle Tips and Tricks,We gathered a list of the best tips for a strong strategy and successful game of Wordle.,top,,,
59,New York,"By William K. Rashbaum, Ben Protess and Jonah E. Bromwich","Trump Is Guilty of ‘Numerous’ Felonies, Prosecutor Who Resigned Says","Mark F. Pomerantz, who had investigated the former president, left after the Manhattan district attorney, Alvin Bragg, halted an effort to seek an indictment.",top,1,2022-03-23T22:31:13+0000,News
60,World,By Austin Ramzy,"The China Eastern plane descended more than 20,000 feet in just over a minute.","An hour after it took off, the flight turned horribly wrong, according to data from Flightradar24.",top,,2022-03-21T11:43:48+0000,News
61,World,By Shawn Hubler,"Why Arnold Schwarzenegger taped an impassioned video to Russia, telling Putin: ‘Stop this war.’","The movie star and former governor of California addressed Russians and Russian soldiers, saying, “ “your lives, your limbs, your futures are being sacrificed for a senseless war.”",top,,2022-03-17T17:57:13+0000,News
62,World,"By Michael Levenson, Megan Specia and Edward Wong",Russia Targets Western Ukraine as Biden Warns Xi Not to Aid Moscow,"A scramble of diplomatic efforts bears little fruit as Russia intensifies its attacks, including with a bombardment into a relatively unscathed part of western Ukraine.",top,1,2022-03-18T21:32:54+0000,News
63,Business,By Peter Eavis,"A Starbucks store in Seattle, the company’s hometown, votes to unionize.",The 9-0 tally was the seventh union victory in the U.S. in a push that began last year.,top,,,
64,World,By Neil MacFarquhar and Andrew E. Kramer,"Russians Pound Ukrainian Cities, as Biden Rallies Anti-Kremlin Alliance","A powerful explosion ruined a shopping mall in Kyiv and claimed several lives, while Ukraine refused a Russian demand to surrender the devastated city of Mariupol.",top,1,2022-03-21T22:39:37+0000,News
65,U.S.,By Vimal Patel,6 Oklahoma High School Students Killed in Crash,"The small passenger vehicle the girls were in collided with a semi-truck in Tishomingo, Okla., the authorities said.",top,,2022-03-22T23:33:23+0000,News
66,Opinion,By Margaret Renkl,Dolly Parton Just Did the ‘Most Punk Rock Thing You Could Imagine’,Turning  down her nomination to the Rock & Roll Hall of Fame might be her way of making room for others in a ruthless music business. ,top,19,2022-03-21T09:00:13+0000,News
67,World,By Maria Varenikova and Andrew E. Kramer,How Ukraine’s Outgunned Air Force Is Fighting Back Against Russian Jets,Aerial dogfights. Top Gun-style duels. Ukraine’s fighter pilots are badly outnumbered but have so far kept Russia from controlling the skies.,top,1,2022-03-22T09:00:21+0000,News
68,U.S.,By Alyssa Lukpat,Bus Shooting in Florida Leaves 2 Dead and 2 Injured,"The bus driver was hailed for driving swiftly to Police Headquarters in Fort Lauderdale, at one point veering into oncoming lanes. A suspect surrendered after the bus came to a stop.",top,,2022-03-17T21:54:43+0000,News
69,Business,By Nicholas Kulish and Maria Cramer,"$12 Billion to 1,257 Groups: MacKenzie Scott’s Donations So Far","The philanthropist announced new donations to Ukraine aid and Planned Parenthood, and said she would soon debut a database of all her giving.",top,,,
70,Style,By Alix Wall,"A Heart So Full, Her Chipped Teeth Were an Afterthought","Kyra Friedell thought she’d never date a Catholic. But Alexander Fernandez, who saw her through personal tragedy (and a beer-bottle knock to the mouth), proved her wrong.",top,12,2022-03-18T04:00:09+0000,News
71,U.S.,By Eduardo Medina,Utah Governor Vetoes Transgender-Athlete Bill,"The bill would have barred transgender athletes from competing in girls’ sports. Gov. Spencer Cox, a Republican, rejected the measure passed by lawmakers in his party.",top,13,2022-03-22T21:48:12+0000,News
72,Well,By Gretchen Reynolds,Is It Better to Exercise in the Morning or Evening?,"Working out at different times of the day might have unique benefits for health, an ambitious new study in mice suggests.",top,,,
73,World,By Anton Troianovski and Michael Schwirtz,"As Russia Stalls in Ukraine, Dissent Brews Over Putin’s Leadership","Military losses have mounted, progress has slowed, and a blame game has begun among some Russian supporters of the war.",top,1,2022-03-22T21:58:22+0000,News
74,Business,By Michael M. Grynbaum,Chris Wallace Says Life at Fox News Became ‘Unsustainable’,"As he starts a new streaming show at CNN, the longtime TV anchor reflects on his decision to leave Fox News after 18 years.",top,,,
75,U.S.,By Johnny Diaz,U.S. House Candidate Ends Run After Uproar Over Behavior at Sleepover,Abby Broyles of Oklahoma said on Thursday that she had checked into rehab “to focus on myself and my happiness” weeks after apologizing for drinking and swearing at children.,top,15,2022-03-24T21:04:57+0000,News
76,Arts,By Caryn Ganz and Joe Coscarelli,"Taylor Hawkins, Foo Fighters’ Drummer, Dies at 50","Hard-hitting and charismatic, he was direct about his hopes for the group’s future, even after two decades. “I want to be the biggest band in the world,” he said.",top,30,2022-03-26T03:36:41+0000,Obituary (Obit)
77,U.S.,By Vimal Patel,Ted Cruz’s Daughters Attend a Private School That Is ‘Antiracist’,The Texas senator aggressively questioned Judge Ketanji Brown Jackson this week for serving on the board of a school “overflowing with critical race theory.”,top,13,2022-03-25T04:35:10+0000,News
78,Opinion,By Bret Stephens,What if Putin Didn’t Miscalculate?,"It’s always wiser to treat an adversary as a canny fox, not a crazy fool. ",top,25,2022-03-29T23:39:26+0000,Op-Ed
79,Movies,By Brooks Barnes and Nicole Sperling,"Onstage Slap Rattles Oscars, Before ‘CODA’ Triumphs","On a night when “CODA” became the first film from a streaming service to win best picture, the focus was on Will Smith’s altercation with Chris Rock.",top,1,2022-03-28T04:24:01+0000,News
80,World,By Emma Bubola,"Family’s Balcony Death in Switzerland Appears to Be Suicide, Police Say","The investigation suggests that the victims jumped from the seventh-floor balcony “one after the other,” the police said.",top,,2022-03-30T10:41:33+0000,News
81,U.S.,"By Luke Broadwater, Alan Feuer and Maggie Haberman",Federal Judge Finds Trump Most Likely Committed Crimes Over 2020 Election,"“The illegality of the plan was obvious,” the judge wrote in a civil case. Separately, the Jan. 6 panel voted to recommend contempt of Congress charges for two former Trump aides.",top,1,2022-03-28T16:24:51+0000,News
82,Well,By Tara Parker-Pope and Knvul Sheikh,A New Wave of Covid-19 Is Coming. Here’s How to Prepare.,Taking these seven steps now can lower your risk and minimize the disruption to your family’s life.,top,,2022-03-30T18:43:40+0000,News
83,World,By Alyssa Lukpat,The W.H.O. says the BA.2 subvariant of Omicron is driving most cases around the world.,"Globally, BA.2 made up about 86 percent of cases reported to the W.H.O. between Feb. 16 and March 17, the agency said in a report on Tuesday.",top,4,2022-03-24T09:17:15+0000,News
84,World,"By Julian E. Barnes, Lara Jakes and John Ismay",U.S. intelligence suggests that Putin’s advisers misinformed him on Ukraine.,One American official said that there “is now persistent tension” between the Russian president and his Defense Ministry.,top,,2022-03-30T18:57:12+0000,News
85,World,By Emma Bubola,4 Die After Falling From Balcony in Swiss Resort Town,"The police, who are investigating the cause, said the people were most likely members of the same family, including an 8-year-old girl, her parents and aunt. A boy, 15, was in the hospital in critical condition.",top,,2022-03-24T14:09:31+0000,News
86,U.S.,By Maya King,"In Georgia, Trump Tries to Revive a Sputtering Campaign",The former president held a rally in rural Georgia on Saturday in an attempt to jump-start David Perdue’s campaign to unseat Gov. Brian Kemp.,top,24,2022-03-26T16:33:32+0000,News
87,U.S.,By Sharon LaFraniere,Biden Administration Plans to Offer Second Booster Shots to Those 50 and Up,"After fraught discussions, officials decided that another shot might save thousands of lives if a new coronavirus wave hit before the fall. The F.D.A. could authorize the boosters next week.",top,23,2022-03-26T00:03:27+0000,News
88,Movies,By Maya Salam,Bruce Willis Has Aphasia and Is ‘Stepping Away’ From His Career,"The news of his diagnosis, initially announced by his ex-wife, Demi Moore, prompted an outpouring of support and appreciation for Willis from fans, stars and other notable figures.",top,5,2022-03-30T17:34:58+0000,News
89,Climate,By Henry Fountain,"In a First, an Ice Shelf Collapses in East Antarctica","Scientists say a period of unusual weather, combined with record-low sea ice, led to the disintegration of the Conger ice shelf.",top,,2022-03-25T22:14:26+0000,News
90,Health,By Emily Anthes,A C.D.C. airport surveillance program found the earliest known U.S. cases of Omicron subvariants.,"The results, which have not yet been published in a peer-reviewed journal, suggest that pooled testing of international travelers may be an effective and efficient way to keep tabs on new variants and pathogens",top,,2022-03-24T14:20:14+0000,News
91,U.S.,"By Luke Broadwater, Jo Becker, Maggie Haberman and Alan Feuer",Ginni Thomas Texts Expose Rift in House Jan. 6 Panel,There is debate within the committee investigating the assault on the Capitol over whether to seek testimony from the wife of Justice Clarence Thomas about her efforts to overturn the 2020 election.,top,14,2022-03-26T00:10:48+0000,News
92,U.S.,By Carl Hulse,"Collins to Back Jackson for Supreme Court, Giving Her a G.O.P. Vote","Senator Susan Collins, a centrist from Maine, said a second meeting with Judge Ketanji Brown Jackson alleviated her concerns. It is unclear if other Republicans will join her.",top,20,2022-03-30T12:00:08+0000,News
93,World,"By Vivian Yee, Aida Alami and Mona El-Naggar","Effort to Rescue a 5-Year-Old Transfixes Morocco, Only to End Sadly","The four-day rescue operation failed to save the life of Rayan, who plunged down a 100-foot well, a devastating outcome to the many Moroccans who were captivated by the effort to save him.",top,,,
94,U.S.,By Jonathan Weisman and Reid J. Epstein,G.O.P. Declares Jan. 6 Attack ‘Legitimate Political Discourse’,The Republican National Committee voted to censure Representatives Liz Cheney and Adam Kinzinger for participating in the inquiry into the deadly riot at the Capitol.,top,,,
95,World,By Maria Varenikova,"With a missile shot, Ukraine sends a public warning to Russia.","As the United States and others step up military aid to Ukraine, the deliveries are more overt, and Ukraine is staging public weapons demonstrations for the media.",top,,,
96,Opinion,By Jonathan Pie and Adam Westbrook,‘The First Thing You Need to Know About Boris Johnson Is He’s a Liar’,"To help make sense of the scandal surrounding Britain’s prime minister, we enlisted the help of satirical newscaster, Jonathan Pie.",top,,,
97,World,By Joy Dong,"Two years after his death, the Chinese doctor who warned of the virus is remembered.","Social media users flocked to an online profile for Dr. Li Wenliang, who provided an early warning about the coronavirus in 2019.",top,,,
98,Sports,By Bill Pennington and Matthew Futterman,"Mikaela Shiffrin, still without a medal, fails to finish in her best event.",,top,,,
99,U.S.,By Luke Broadwater,"Overhaul of Electoral Count Act ‘Absolutely’ Will Pass, Manchin Says",Senators working to overhaul the law said recent revelations about former President Donald J. Trump’s efforts to overturn the 2020 election made their work even more crucial.,top,,,
100,Business,By Nicole Sperling,"Netflix, hoping to keep viewers at home, reveals its 2022 film lineup.","Netflix said it would release 61 English-language, live-action films in 2022, as well as five animated features, three anime films and 17 live-action movies in other languages.",top,,,
101,Health,By Emily Anthes,"In New York City Sewage, a Mysterious Coronavirus Signal","For the past year, scientists have been looking for the source of strange coronavirus sequences that have appeared in the city’s wastewater.",top,,,
102,Well,By Jane E. Brody,Looking for Early Warning Signs of Pancreatic Cancer,Scientists are exploring whether the onset of diabetes may in some cases herald the existence of one of the most deadly of all cancers.,top,,,
103,New York,By Tracey Tully,N.J. Governor to End School Mask Mandate in Move to ‘Normalcy’,"For the first time since the start of the pandemic, New Jersey districts will be permitted to allow students and teachers to stop wearing masks.",top,,,
104,U.S.,By Johnny Diaz,Pennsylvania Doctor Accused of Prescribing Ivermectin for Covid Is Fired,"Tower Health Medical Group said in a statement that it learned of the allegations on Wednesday. After an investigation, the doctor’s employment was “terminated effective immediately.”",top,,,
105,Well,By Knvul Sheikh,I Just Had Covid. Do I Need a Booster?,The immunity you gain after a Covid-19 infection might not be enough to fend off the virus again. Here’s what to know.,top,,,
106,Arts,By Ben Sisario,Joe Rogan Apologizes for ‘Shameful’ Past Use of Racial Slur,His apology came as listeners said that as many as 70 episodes of “The Joe Rogan Experience” podcast had been quietly taken off Spotify; the company has yet to comment on the reported removals.,top,,,
107,U.S.,"By Lisa Lerer, Luis Ferré-Sadurní and Astead W. Herndon","Dropping Indoor Mask Mandate, New York Joins Blue States Easing Covid Rules","After a scare in November, New Jersey’s governor and other Democratic leaders held back-channel talks over lifting mandates and helping voters impatient with restrictions reclaim a sense of normalcy.",top,,,
108,U.S.,By Dan Simmons and Amanda Holpuch,"Three Dead and One Wounded in Shooting Near Milwaukee, Police Say","A gunman, who took his own life, fired at police officers from the second floor of an apartment building in Brown Deer, Wis., after fatally shooting two other people.",top,,,
109,Business,By David Yaffe-Bellany and Ben Dooley,"American Behind Carlos Ghosn Escape Is Ailing in Japanese Prison, Lawyers Say","Michael Taylor got frostbite in the unheated facility, his legal team says, as it pushes to have him and his son transferred to the United States.",top,,,
110,U.S.,By Azi Paybarah,"Seaman Dies After ‘Hell Week’ of SEAL Training, Navy Says","Kyle Mullen of Manalapan, N.J., was one of two trainees who were hospitalized after completing several days of training outside San Diego.",top,,,
111,World,By Ivan Nechepurenko and Valerie Hopkins,"On Ukraine, Many Russians Have No Doubt: It’s the Fault of the U.S.",The idea that the U.S. and NATO are fomenting the crisis between Russia and Ukraine is hammered home daily by the Kremlin’s propaganda machine.,top,,,
112,U.S.,By Julian E. Barnes,U.S. Exposes What It Says Is Russian Effort to Fabricate Pretext for Invasion,Officials said Russia was planning a fake video showing an attack by Ukrainians on Russian territory or Russian speakers in eastern Ukraine.,top,,,
113,Health,By Benjamin Mueller,Bob Saget’s Autopsy Report Describes Severe Skull Fractures,"Such an extensive head injury would likely have left the actor confused, if not unconscious, experts said.",top,,,
114,Sports,By Tariq Panja,Kamila Valieva’s sample included three substances sometimes used to help the heart. Only one is banned.,The medications were revealed in a document filed in her arbitration hearing on Sunday.,top,,,
115,U.S.,"By Luke Broadwater, Jonathan Martin, Maggie Haberman and Michael S. Schmidt",Trump’s Missing Call Logs Present a Challenge for Jan. 6 Investigators,Sparse call records and missing documents hinder the House panel as it tries to piece together what President Trump was doing during the attack on Congress.,top,,,
116,New York,By Ben Protess and William K. Rashbaum,Accounting Firm Cuts Ties With Trump and Retracts Financial Statements,"The firm, Mazars USA, said in a letter that it could no longer stand behind the annual statements, which are central to an investigation by the New York attorney general.",top,,,
117,Sports,By Ken Belson,N.F.L. was ‘aware’ Eminem planned to kneel during halftime performance.,"The rapper took a knee after performing, in an apparent nod to Colin Kaepernick’s protest.",top,,,
118,Opinion,By Charles M. Blow,There Will Be No Post-Covid,Covid is here to stay. So are the societal transformations it’s caused.,top,,,
